institution.name,specialty.name,program.name,degree,program.link
Курский институт кооперации (филиал) БУКЭП,Менеджмент (38.03.02),Цифровой маркетинг,Бакалавр,https://kursk.postupi.online/vuz/ekonomicheskij-fakultet-kurskij-institut-kooperacii-bukep/programma/10677/
Курский институт кооперации (филиал) БУКЭП,Экономика (38.03.01),"Бухгалтерский учет, анализ и аудит",Бакалавр,https://kursk.postupi.online/vuz/ekonomicheskij-fakultet-kurskij-institut-kooperacii-bukep/programma/390/
Курский институт кооперации (филиал) БУКЭП,Технология продукции и организация общественного питания (19.03.04),Технология и управление производством предприятий индустрии питания,Бакалавр,https://kursk.postupi.online/vuz/ekonomicheskij-fakultet-kurskij-institut-kooperacii-bukep/programma/5401/
МЭБИК,Экономика (38.03.01),Финансы и кредит,Бакалавр,https://kursk.postupi.online/vuz/fakultet-podgotovki-bakalavrov-mebik/programma/389/
МЭБИК,Торговое дело (38.03.06),Коммерция,Бакалавр,https://kursk.postupi.online/vuz/fakultet-podgotovki-bakalavrov-mebik/programma/1145/
МЭБИК,Государственное и муниципальное управление (38.03.04),Муниципальное управление,Бакалавр,https://kursk.postupi.online/vuz/fakultet-podgotovki-bakalavrov-mebik/programma/2780/
МЭБИК,Менеджмент (38.03.02),Менеджмент организации,Бакалавр,https://kursk.postupi.online/vuz/fakultet-podgotovki-bakalavrov-mebik/programma/307/
МЭБИК,Экономика (38.03.01),"Бухгалтерский учет, анализ и аудит",Бакалавр,https://kursk.postupi.online/vuz/fakultet-podgotovki-bakalavrov-mebik/programma/390/
МЭБИК,Управление персоналом (38.03.03),Управление персоналом в отраслях и сферах деятельности,Бакалавр,https://kursk.postupi.online/vuz/fakultet-podgotovki-bakalavrov-mebik/programma/314/
МЭБИК,Юриспруденция (40.03.01),Гражданское и предпринимательское право,Бакалавр,https://kursk.postupi.online/vuz/fakultet-podgotovki-bakalavrov-mebik/programma/5958/
МЭБИК,Прикладная информатика (09.03.03),Прикладная информатика в экономике,Бакалавр,https://kursk.postupi.online/vuz/fakultet-podgotovki-bakalavrov-mebik/programma/69/
МЭБИК,Реклама и связи с общественностью (42.03.01),Реклама и связи с общественностью в отраслях и сферах деятельности,Бакалавр,https://kursk.postupi.online/vuz/fakultet-podgotovki-bakalavrov-mebik/programma/332/
Академия госслужбы,Таможенное дело (38.05.02),Таможенное дело,Специалист таможенного дела,https://kursk.postupi.online/vuz/kagms/programma/481/
Академия госслужбы,Государственное и муниципальное управление (38.03.04),Организация системы государственного и муниципального управления,Бакалавр,https://kursk.postupi.online/vuz/kagms/programma/564/
Академия госслужбы,Юриспруденция (40.03.01),Правовое регулирование государственного и муниципального управления,Бакалавр,https://kursk.postupi.online/vuz/kagms/programma/650/
