institution.name,specialty.name,program.name,degree,program.link
КГУ,Управление персоналом (38.03.03),Управление персоналом в отраслях и сферах деятельности,Прикладной бакалавр,https://kursk.postupi.online/vuz/institut-ekonomiki-i-upravleniya-kgu-kursk/programma/314/
КГУ,Педагогическое образование (с двумя профилями подготовки) (44.03.05),Начальное образование и Дошкольное образование,Бакалавр,https://kursk.postupi.online/vuz/pedagogiki-i-psihologii-kgu-kursk/programma/2150/
КГУ,Философия (47.03.01),Философия культуры,Академический бакалавр,https://kursk.postupi.online/vuz/filosofii-i-sociologii-kgu-kursk/programma/9701/
КГУ,Физическая культура (49.03.01),Теория и методики подготовки спортсменов,Прикладной бакалавр,https://kursk.postupi.online/vuz/fizkultury-i-sporta-kgu-kursk/programma/3616/
КГУ,Прикладная математика и информатика (01.03.02),Математическое и компьютерное моделирование,Академический бакалавр,https://kursk.postupi.online/vuz/fmi-kgu-kursk/programma/1571/
КГУ,Психолого-педагогическое образование (44.03.02),Начальное образование,Академический бакалавр,https://kursk.postupi.online/vuz/pedagogiki-i-psihologii-kgu-kursk/programma/370/
КГУ,Специальное (дефектологическое) образование (44.03.03),Логопедия детей и взрослых,Академический бакалавр,https://kursk.postupi.online/vuz/defektologicheskij-fakultet-kgu-kursk/programma/477/
КГУ,Туризм (43.03.02),Технология и организация экскурсионных услуг,Бакалавр,https://kursk.postupi.online/vuz/egf-kgu-kursk/programma/344/
КГУ,Искусство костюма и текстиля (54.03.03),Художественное проектирование текстильных изделий,Академический бакалавр,https://kursk.postupi.online/vuz/hgf-kgu-kursk/programma/401/
КГУ,Химия (04.03.01),Органическая и биоорганическая химия,Академический бакалавр,https://kursk.postupi.online/vuz/egf-kgu-kursk/programma/152/
ЮЗГУ,Строительство (08.03.01),Экспертиза и управление недвижимостью,Бакалавр,https://kursk.postupi.online/vuz/fsa-yuzgu/programma/237/
ЮЗГУ,Мехатроника и робототехника (15.03.06),Сервисная робототехника,Бакалавр,https://kursk.postupi.online/vuz/enf-yuzgu/programma/9673/
ЮЗГУ,Эксплуатация транспортно-технологических машин и комплексов (23.03.03),Автомобильный сервис,Бакалавр,https://kursk.postupi.online/vuz/mtf-yuzgu/programma/380/
ЮЗГУ,Прикладная информатика (09.03.03),Информационные системы и аналитика данных в международном бизнесе,Бакалавр,https://kursk.postupi.online/vuz/guimo-yuzgu/programma/19307/
ЮЗГУ,Информационная безопасность (10.03.01),Безопасность автоматизированных систем в сфере информационных и коммуникационных технологий,Бакалавр,https://kursk.postupi.online/vuz/ffipi-yuzgu/programma/1119/
ЮЗГУ,Управление персоналом (38.03.03),Управление персоналом организации,Бакалавр,https://kursk.postupi.online/vuz/feim-yuzgu/programma/314/
ЮЗГУ,Химия (04.03.01),Органическая и биоорганическая химия,Бакалавр,https://kursk.postupi.online/vuz/enf-yuzgu/programma/152/
ЮЗГУ,Медицинская кибернетика (30.05.03),Медицинские информационные системы,Врач-кибернетик,https://kursk.postupi.online/vuz/ffipi-yuzgu/programma/12012/
ЮЗГУ,Правоохранительная деятельность (40.05.02),Воспитательно-правовая деятельность,Юрист,https://kursk.postupi.online/vuz/yuridicheskij-fakultet-yuzgu/programma/6153/
ЮЗГУ,Архитектура (07.03.01),Архитектура жилых и общественных зданий,Бакалавр,https://kursk.postupi.online/vuz/fsa-yuzgu/programma/1510/
ЮЗГУ,Экономическая безопасность (38.05.01),Экономико-правовое обеспечение экономической безопасности,Экономист,https://kursk.postupi.online/vuz/feim-yuzgu/programma/601/
ЮЗГУ,Строительство (08.03.01),Теплогазоснабжение и вентиляция,Бакалавр,https://kursk.postupi.online/vuz/fsa-yuzgu/programma/232/
ЮЗГУ,Информатика и вычислительная техника (09.03.01),"Вычислительные машины, комплексы, системы и сети",Бакалавр,https://kursk.postupi.online/vuz/ffipi-yuzgu/programma/54/
ЮЗГУ,Продукты питания животного происхождения (19.03.03),Управление и проектирование производственных систем молочной и мясной индустрии,Бакалавр,https://kursk.postupi.online/vuz/guimo-yuzgu/programma/5398/
ЮЗГУ,Правоохранительная деятельность (40.05.02),Обеспечение безопасности в уголовно-исполнительной системе,Юрист,https://kursk.postupi.online/vuz/yuridicheskij-fakultet-yuzgu/programma/9677/
ЮЗГУ,Биотехнические системы и технологии (12.03.04),Биотехнические и медицинские аппараты и системы,Бакалавр,https://kursk.postupi.online/vuz/ffipi-yuzgu/programma/1174/
КГУ,Специальное (дефектологическое) образование (44.03.03),Образование детей с интеллектуальными нарушениями,Академический бакалавр,https://kursk.postupi.online/vuz/defektologicheskij-fakultet-kgu-kursk/programma/544/
КГУ,Теология (48.03.01),Культура православия,Академический бакалавр,https://kursk.postupi.online/vuz/teology-kgu-kursk/programma/518/
КГУ,Педагогическое образование (с двумя профилями подготовки) (44.03.05),География и Биология,Прикладной бакалавр,https://kursk.postupi.online/vuz/egf-kgu-kursk/programma/2796/
КГУ,Психолого-педагогическое образование (44.03.02),Дошкольное образование,Академический бакалавр,https://kursk.postupi.online/vuz/pedagogiki-i-psihologii-kgu-kursk/programma/1221/
КГУ,Педагогическое образование (с двумя профилями подготовки) (44.03.05),Иностранный язык (французский) и Иностранный язык (английский),Прикладной бакалавр,https://kursk.postupi.online/vuz/inyaz-kgu-kursk/programma/2171/
КГУ,Специальное (дефектологическое) образование (44.03.03),Образование детей с расстройствами аутистического спектра,Бакалавр,https://kursk.postupi.online/vuz/defektologicheskij-fakultet-kgu-kursk/programma/16220/
КГУ,Музыкально-инструментальное искусство (53.03.02),Исполнительство на музыкальных инструментах: оркестровые духовые и ударные инструменты,Бакалавр,https://kursk.postupi.online/vuz/iskusstv-i-art-pedagogiki-kgu-kursk/programma/3252/
КГУ,Дизайн (54.03.01),Графический дизайн,Бакалавр,https://kursk.postupi.online/vuz/hgf-kgu-kursk/programma/72/
ЮЗГУ,Журналистика (42.03.02),Мультимедийная и традиционная журналистика,Бакалавр,https://kursk.postupi.online/vuz/flmk-yuzgu/programma/2678/
ЮЗГУ,Программная инженерия (09.03.04),Разработка программно-информационных систем,Бакалавр,https://kursk.postupi.online/vuz/ffipi-yuzgu/programma/458/
ЮЗГУ,Инфокоммуникационные технологии и системы связи (11.03.02),Сети связи и системы коммутации,Бакалавр,https://kursk.postupi.online/vuz/ffipi-yuzgu/programma/1045/
